Gene Symbol,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio,frac_remaining_15h,decay_k_per_h,halflife_h
TACO1,1.0296262237312206,0.9703737762687792,1.0617758517213434,0.9698573015129731,0.9672576695111528,1.0130702696114584,0.8899608343448985,0.8852432830404955,0.8876020586926969,0.0076241877560586585,90.91423279930731
TADA1,1.0589083192393423,0.9410916807606575,0.8662794332301894,0.9221172436053243,0.8196641730264118,0.8401491634640914,0.8657789070115091,0.904499246333808,0.8851390766726586,0.0087147560930976,79.53718648637141
TADA2A,1.0673079329086093,0.9326920670913905,0.8181337593344943,0.7720890909642947,0.8619545256534477,0.827570246016854,0.8279154912415062,0.9017949184181002,0.8648552048298033,0.0074144435286085456,93.48606916829898
TADA2B,0.94680155829693,1.05319844170307,0.897572479128703,0.8841348555080581,0.8330542064578718,0.8607099385552696,0.8240487931475123,0.8252046969008254,0.8246267450241689,0.01249892969928185,55.45652285729484
TADA3,1.0046300601240044,0.9953699398759955,0.8256525618380811,0.7943797249460316,0.7568214336629945,0.7236568688266709,0.7719188811830218,0.769283408279231,0.7706011447311264,0.017437415939943444,39.75056756960019
TAF1,1.0442119777646894,0.9557880222353108,1.0589000052331665,0.995596848390835,0.9239864643690324,0.8012900291155992,0.8559503938608366,0.8765666671514671,0.8662585305061519,0.012093942162078777,57.313584873371276
TAF10,1.0448955433420815,0.9551044566579183,0.8820019966237731,0.8836649536891177,0.778598469524707,0.7622991122362611,0.712078090729737,0.8381055869749585,0.7750918388523478,0.018149215330736802,38.19157841970492
TAF12,1.0197822607614957,0.9802177392385042,0.8063930118694608,0.7992172430303064,0.7717618969723571,0.7260770054957513,0.6218210485204958,0.5531840722986292,0.5875025604095625,0.03340199841971324,20.75166796459887
TAF13,0.9353076627082207,1.0646923372917794,1.321070598851789,2.005583311022172,1.8562416456689355,1.9690093008723615,1.9834813085619278,1.8013453326980533,1.8924133206299905,-0.04154450564343584,inf
TAF15,1.0043309751103802,0.9956690248896195,1.0251552042591197,0.9064364359860378,0.8712582300004971,1.0142693240701666,1.0202532817048655,0.9981907460321024,1.009222013868484,-4.51828656104695e-05,inf
TAF1A,0.99801415277018,1.00198584722982,0.7755903190361321,0.7559843689955151,0.6874186412310352,0.6559347188985641,0.7749508749222923,0.6724326143211813,0.7236917446217368,0.022180555973454877,31.25021669382346
TAF1B,1.0328575938360391,0.967142406163961,0.4489862183101498,0.41869852273006547,0.420586114989912,0.4194056215668114,0.40228736063695064,0.4234116659633843,0.4128495133001675,0.05370411908921334,12.906778703668678
TAF1C,1.019885758999812,0.9801142410001878,0.7444163641529433,0.8204821471267656,0.7659466309498707,0.7844055614872811,0.8208003174861558,0.8408747247684393,0.8308375211272976,0.011276314382561622,61.46930256147081
TAF2,0.9886609723821509,1.0113390276178489,0.8617824157115263,0.8270670936993502,0.8427924661731719,0.7857209076627295,0.6633568085379873,0.730998931265456,0.6971778699017217,0.022445371293933786,30.881519912628008
TAF3,0.7708802106102349,1.2291197893897652,0.6944550357952897,1.0577517204869586,0.612424868625741,0.8936722097112006,1.0918111916897617,0.7860280971130397,0.9389196444014007,0.005912653725586989,117.23114742207093
TAF4,1.0064147106602739,0.9935852893397262,0.968410783011106,0.9651779983628842,0.9829409219336706,1.0782781290829582,1.070214598222425,1.0854533300895852,1.077833964156005,-0.005753949998976366,inf
TAF5,1.0123944986975317,0.9876055013024682,0.939312968864685,0.8956083440431761,0.8193127529587751,0.8634210531282519,0.8408015056307312,0.8503245483718371,0.8455630270012842,0.011794332179393557,58.76951488368082
TAF5L,0.9937825650632125,1.0062174349367876,0.9473724061693911,1.0530627508038062,0.8551915660586229,0.8299024559066197,1.0096883163216535,0.8692065298132953,0.9394474230674743,0.007319992246417415,94.69233808262415
