gene,Yi_remaining_15h,Yi_decay_k,Li_HEK293T_t_half_h,is_WT_best_hit
CEP83,0.5732846429080166,0.0367834076002743,22.36,False
CEP85,0.5305947605964847,0.0405297723851123,17.7,False
CEP89,0.3755372832695605,0.0650006277727292,8.68,False
CEP95,0.4006162425294104,0.0606239171315424,7.93,False
CETN2,0.5080098799792335,0.043409177174482,19.6,False
CETN3,0.1619778330408775,0.1184450697232342,8.54,False
CFAP298,0.5672689184051836,0.0372011136796194,17.76,False
CFAP70,0.4302679126915755,0.0526687930451732,8.83,False
CFAP97,0.3759863154026023,0.0633679730045377,10.47,False
CGGBP1,0.8015332052475861,0.0161399912952217,28.41,False
CGN,0.6040718473625013,0.032744153254882,20.98,False
CHD6,0.3457480876883604,0.0700428614776603,17.46,False
CHD8,0.4266780097002167,0.056489456740583,19.94,False
CHEK1,0.6028629828327197,0.0329005880160827,11.73,False
CHKA,0.5397843354147264,0.0407196237274156,13.73,False
CHP1,0.5532832444753087,0.0384678179030472,29.82,False
CIR1,0.5522347255403117,0.0387267748155232,10.28,False
CIZ1,0.6779903565095239,0.0261870725132342,24.4,False
CKAP2L,0.2444373587681843,0.0929951805454916,4.36,False
CKS1B,0.0761976744804855,0.1670420316870521,10.7,False
CLEC16A,0.9744773600704444,0.0001594998185959,33.04,False
CLK1,0.6479097196483714,0.028654968264411,9.74,False
CLSPN,0.1780194898854797,0.1141582010032581,3.12,False
CMC2,0.9257468781855596,0.0071075378113936,32.06,False
CNOT8,0.4934691264914147,0.0452648747530707,17.65,False
CNTLN,0.4006073089263769,0.0572032272240186,9.33,False
COBL,0.8354371071273865,0.0132492830004927,31.75,False
COMMD4,0.5661071205084176,0.035610359600094,22.16,False
COMMD9,0.4072219479941709,0.0583194423457537,17.3,False
COP1,0.4154961444810292,0.0560106881819069,8.65,False
COX6B1,0.8322397631320333,0.01516489926067,31.6,False
CPNE8,0.5942475273946619,0.0308894902185987,18.88,False
CRAMP1,0.3901764691239259,0.0603602166470386,10.78,False
CREB1,0.74983922912886,0.0195350849157502,22.57,False
CREB5,0.5576210528180221,0.0399011462451197,17.8,False
CRIPT,0.810796248599031,0.0154126582671134,12.12,False
CRY1,0.3844270896343746,0.0664183287164277,3.89,False
CRY2,0.3920959755043951,0.059691198920611,6.78,False
CSNK1E,0.2565651975072897,0.0887587311990888,13.34,False
CSPP1,0.4951187782426385,0.0464131241097921,13.28,False
CSRP2,0.5524114339183994,0.0390927752279239,16.03,False
CTNNA1,0.5412146655497379,0.0407233320330904,26.53,False
CTNNAL1,0.3894948165898896,0.0621792609399493,12.09,False
CTSV,0.3411946924904838,0.0695954795991552,8.69,False
